名字,发表时间,分数,标题,连接
钟螺,2019/8/10 2:35,10,道理我都懂，为什么不炸静安寺,https://movie.douban.com/review/10391653
夏多先生,2019/8/9 11:28,10,上海堡垒，某种意义上的划时代电影,https://movie.douban.com/review/10387138
学无止境,2019/8/9 2:46,10,尬点7宗罪,https://movie.douban.com/review/10386271
史塔克sir,2019/8/9 9:37,10,《流浪地球》让中国科幻翻开了新的一页，《上海堡垒》成功的让这一页合上了！让我静一静,https://movie.douban.com/review/10386696
今天肥宅了吗,2019/8/9 18:04,10,《上海堡垒》失败无关鹿晗，我们还会有更多这样的烂片,https://movie.douban.com/review/10389062
凌睿,2019/8/9 16:16,10,“科幻版”霸道女总裁爱上我,https://movie.douban.com/review/10388465
摩诃曼珠沙华,2019/8/9 5:52,10,天煞-地球反击战3？,https://movie.douban.com/review/10386383
蝌蚪往人,2019/8/10 1:03,20,活该的《上海堡垒》和江南,https://movie.douban.com/review/10391433
羽小凉,2019/8/6 17:22,20,简单吐个槽,https://movie.douban.com/review/10378735
叼烟的戈达尔,2019/8/9 20:09,20,如何从专业的角度夸赞「上海堡垒」,https://movie.douban.com/review/10389674
已注销,2019/8/9 18:45,10,还可以更烂吗？？？第一部让我提前出场的电影,https://movie.douban.com/review/10389243
纽太普,2019/8/11 14:53,10,与其说是上海堡垒，不如说是上海暴雷,https://movie.douban.com/review/10397498
自由枪骑兵,2019/8/9 16:04,10,左支右绌的上海保卫战,https://movie.douban.com/review/10388400
lcxlee,2019/8/9 12:25,10,三年的故事打磨？磨出来一个不伦不类。,https://movie.douban.com/review/10387365
何大仙,2019/8/8 20:31,20,果然是科幻大片！剧情bug我是不懂的（剧透慎入）,https://movie.douban.com/review/10385084
蛋蛋秀,2019/8/10 11:43,10,凭一己之力把中国科幻电影打回原形！,https://movie.douban.com/review/10392671
修桃君,2019/8/9 22:25,10,精神分裂，San值狂掉,https://movie.douban.com/review/10390437
公映哥,2019/8/10 20:42,10,从没见过这么厚颜无耻的电影,https://movie.douban.com/review/10394644
踩蛋中年老左,2019/8/10 18:52,10,我忍受了1个多小时的精神污染，只是为了草一句影评人们的asshole,https://movie.douban.com/review/10394251
木楠子,2019/8/5 2:58,20,非黑非粉的伪科幻影迷对全片各情节及科幻部分的详细点评，有部分剧透，介意慎入~,https://movie.douban.com/review/10374221
秋落芸,2019/8/10 1:30,0,上海陆沉,https://movie.douban.com/review/10391537
Bon Voyage,2019/8/10 0:22,10,电影bug这么多，导演你是认真的吗？,https://movie.douban.com/review/10391222
羊阳洋,2019/8/9 12:55,20,科幻爱情，双双坠马,https://movie.douban.com/review/10387504
船长电影,2019/8/11 9:26,20,如果不批评，只无脑吹，《上海堡垒》只会越来越多,https://movie.douban.com/review/10396343
微笑好陌生,2019/8/11 0:05,10,鹿晗是整部电影最大的败笔,https://movie.douban.com/review/10395544
人造天堂,2019/8/9 14:33,10,这是弄啥哩,https://movie.douban.com/review/10387936
scold丶,2019/8/9 20:27,0,谁能想到特效竟然是本片唯一还能下嘴夸夸的地方。,https://movie.douban.com/review/10389762
Fly  Away,2019/8/9 21:25,10,终于，没钱的我还是去看了这部烂片，这怕是观影过程中最深刻的体验,https://movie.douban.com/review/10390066
粉红暴力兔,2019/8/11 23:03,10,为了吐槽重修豆瓣的心情你们能理解吗？,https://movie.douban.com/review/10399427
屯里最后的翠花,2019/8/11 21:34,40,有一港一，上海堡垒真的没辣么烂,https://movie.douban.com/review/10399048
似此星辰,2019/8/11 21:18,0,没看电影就嘲笑票房有意思吗？,https://movie.douban.com/review/10398974
life&#39;s a strugg,2019/8/11 21:00,10,狡辩常见理由及各类槽点,https://movie.douban.com/review/10398900
Scaney,2019/8/11 11:00,20,想分享下心情，专门为上海堡垒注册了豆瓣,https://movie.douban.com/review/10396666
虫草,2019/8/11 3:05,20,江南是一个很有才华的作者,https://movie.douban.com/review/10396032
涡锅头,2019/8/10 21:49,30,言情的归言情，科幻的归科幻,https://movie.douban.com/review/10394931
July,2019/8/10 19:51,10,这是在侮辱谁的智商？,https://movie.douban.com/review/10394446
豆友189748571,2019/8/10 0:35,10,上海堡垒烂的我心服口服,https://movie.douban.com/review/10391294
小仙女,2019/8/10 0:32,10,"“**不通，白白牺牲”
——观《上海堡垒》有感",https://movie.douban.com/review/10391277
林与时,2019/8/10 0:29,10,这是一部烂到我想写长文骂它的电影,https://movie.douban.com/review/10391262
玄都邓林,2019/8/10 0:17,20,错不在演员，而是电影整体气质就烂了,https://movie.douban.com/review/10391199
墨雪飘·痕,2019/8/9 22:36,20,《上海堡垒》：咎由自取的反噬,https://movie.douban.com/review/10390511
正义的伙伴,2019/8/11 23:26,10,有些事我是真不懂啊！,https://movie.douban.com/review/10399519
一位少男,2019/8/11 15:08,10,最强超英团队诞生,https://movie.douban.com/review/10397554
韩金子,2019/8/10 14:15,30,外星人入侵，我们人类能保护的也只有我们自己。,https://movie.douban.com/review/10393213
栀生夏弥,2019/8/9 16:19,20,科幻？爱情？都不及格！,https://movie.douban.com/review/10388480
A.?7.0team苏豪,2019/8/12 12:43,10,腊鸡,https://movie.douban.com/review/10400868
再见,2019/8/12 12:41,10,如果不是没办法，一星都不想给,https://movie.douban.com/review/10400864
期限,2019/8/12 12:38,50,科幻电影,https://movie.douban.com/review/10400856
马海木基,2019/8/12 12:37,10,?鹿晗 必懒片 发v个让哥哥发的打的好吧好吧热敷v穿多大的大动肝火二让哥哥死亡日记叫你不打扰方便vvv富贵花特厄尔一会叫你本恶捶捶背热额度额骨灰盒穿丝袜手抄报姐姐u小黄车出呜呜呜u我,https://movie.douban.com/review/10400851
