播放次数,歌单拥有者,歌单标题,歌单连接
149万,原创君,忧郁少年 你的城市是否有雨,https://music.163.com/playlist/2991010869
554万,山河暮归,欧美民谣 I 往昔璀璨如钻 却又锈迹斑斑,https://music.163.com/playlist/997386069
126万,七香,欧美·漂浮在失重宇宙,https://music.163.com/playlist/963303847
96万,完美的灵魂,听说，钢琴和民谣也很搭配。,https://music.163.com/playlist/94111731
242万,-解忧杂货店,中古 | 凯尔特音乐前尘往事☁️,https://music.163.com/playlist/365959097
2375万,pure日月,【民谣盛宴】100首必听欧美民谣,https://music.163.com/playlist/311692545
48万,邪恶与死亡的玫瑰,中古凯尔特维京与欧洲民谣,https://music.163.com/playlist/768094212
75万,和猫咪一起失眠,中世纪民谣 | 被年轮遗忘的古老传说,https://music.163.com/playlist/2153649485
177万,全球趣音乐,中古民谣 • 时间和空间的跨越,https://music.163.com/playlist/749977728
168万,-TRTan-,|中古民谣| 坠入异国的神秘仙境,https://music.163.com/playlist/468497894
57万,摩羯癌晚期患者,「欧洲中古民谣」,https://music.163.com/playlist/447388773
25万,洽空,「中古西幻」火与剑,https://music.163.com/playlist/406641233
65万,风笛手的呼唤,【Folk】三月的雨，春天的云，爱尔兰的绿,https://music.163.com/playlist/2698698442
79万,KYLOS_,叙事谣 | 她是歌中的女主角,https://music.163.com/playlist/2706035001
147万,野猫吃人,［英文民谣］有时间一起喝杯下午茶,https://music.163.com/playlist/2347008317
96万,积木立方,俄罗斯民谣|唱完这首冰冷的歌去战斗,https://music.163.com/playlist/896094148
68万,音凛酱,欧洲中世纪丨魔法异世界冒险的幻想之旅,https://music.163.com/playlist/2694278154
81万,Kindly丶,日系民谣 ‖ 那是岁月轻抚过的温柔,https://music.163.com/playlist/2530668718
818万,花嫁赫萝,『小酒馆』剑与魔法 · 旅途中的休憩时光,https://music.163.com/playlist/800496969
20万,cloudy-day00,【日语】钢琴伴奏与日系女声的巧妙融合,https://music.163.com/playlist/2534839903
108万,IntropinRevivan,光影留声|听电影故事里的民谣,https://music.163.com/playlist/2060506027
62万,KYLOS_,歌者轻吟·月色清冷,https://music.163.com/playlist/2707665668
89万,雨夜出逃,瓦尔登湖｜藏在深邃僻阴处 放在素雅思想中,https://music.163.com/playlist/2622660378
100万,X丶Greyen,"我要这仲冬的暖灯荼锦,全都为你闪烁",https://music.163.com/playlist/2565796547
944万,扫帚帚,′ 日 语 心 碎 歌 集 º 病 名 為 愛,https://music.163.com/playlist/971620509
45万,科拉希子,【大冰的小屋】小屋歌手所有的民谣作品集,https://music.163.com/playlist/2000536302
20万,西楼故梦,大冰的小屋/阿弥陀佛么么哒,https://music.163.com/playlist/442419082
43万,名声鹤起a,肺腑之言，抱歉.,https://music.163.com/playlist/2756412610
533万,李俊达Alon,「民谣」民谣是唱给自己的歌。,https://music.163.com/playlist/416559809
32万,江皓北,一个听完之后，有故事的民谣,https://music.163.com/playlist/946496957
691万,迷了鹿的南,一个双子座的民谣列表,https://music.163.com/playlist/544533855
195万,不正经的世界,手鼓-非洲鼓-民谣里的微风轻漾,https://music.163.com/playlist/809239670
103万,木桢先生,丽江酒吧 原创民谣 （丽江手鼓店音乐大全）,https://music.163.com/playlist/736073242
254万,我今天非常想妳,民 謡 大 佬,https://music.163.com/playlist/395305337
208万,我爱你的声音沉没在海里,华语民谣大合辑：一人一首代表作,https://music.163.com/playlist/2711754983
76万,鹤禅眠,《民谣手写集》·北境绝纸笔，南巢归欢喜,https://music.163.com/playlist/2786226719
142万,王宇程阿,［小众民谣］不多想 不期人 不起恻隐之心,https://music.163.com/playlist/2533106391
596万,真爱喝柠檬茶,陈旧的车厢摇摇晃晃，慢慢驶向夏天,https://music.163.com/playlist/2758060130
